GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ticketmonster Coverage Report microservice Scenario 1,org.ticketmonster.orders,Application,8,0,0,0,3,0,2,0,2,0
ticketmonster Coverage Report microservice Scenario 1,org.jboss.examples.ticketmonster.rest,MediaItemEndpoint,171,0,10,0,43,0,11,0,6,0
ticketmonster Coverage Report microservice Scenario 1,org.jboss.examples.ticketmonster.rest,TicketEndpoint,171,0,10,0,43,0,11,0,6,0
ticketmonster Coverage Report microservice Scenario 1,org.jboss.examples.ticketmonster.rest,SectionAllocationEndpoint,171,0,10,0,43,0,11,0,6,0
ticketmonster Coverage Report microservice Scenario 1,org.jboss.examples.ticketmonster.rest,MediaService,5,17,0,0,1,2,1,2,1,2
ticketmonster Coverage Report microservice Scenario 1,org.jboss.examples.ticketmonster.rest,ShowService,16,52,2,2,2,11,2,3,0,3
ticketmonster Coverage Report microservice Scenario 1,org.jboss.examples.ticketmonster.rest,ShowEndpoint,171,0,10,0,43,0,11,0,6,0
ticketmonster Coverage Report microservice Scenario 1,org.jboss.examples.ticketmonster.rest,EventCategoryEndpoint,102,69,5,5,25,18,7,4,3,3
ticketmonster Coverage Report microservice Scenario 1,org.jboss.examples.ticketmonster.rest,TicketPriceEndpoint,171,0,10,0,43,0,11,0,6,0
ticketmonster Coverage Report microservice Scenario 1,org.jboss.examples.ticketmonster.rest,TicketRequest,11,17,0,0,4,8,1,5,1,5
ticketmonster Coverage Report microservice Scenario 1,org.jboss.examples.ticketmonster.rest,JaxRsActivator,0,3,0,0,0,1,0,1,0,1
ticketmonster Coverage Report microservice Scenario 1,org.jboss.examples.ticketmonster.rest,ShowMetric,75,0,2,0,18,0,8,0,7,0
ticketmonster Coverage Report microservice Scenario 1,org.jboss.examples.ticketmonster.rest,PingService,54,0,4,0,10,0,4,0,2,0
ticketmonster Coverage Report microservice Scenario 1,org.jboss.examples.ticketmonster.rest,BotStatusService,45,0,8,0,12,0,8,0,4,0
ticketmonster Coverage Report microservice Scenario 1,org.jboss.examples.ticketmonster.rest,TicketCategoryEndpoint,171,0,10,0,43,0,11,0,6,0
ticketmonster Coverage Report microservice Scenario 1,org.jboss.examples.ticketmonster.rest,RestServiceException,34,0,0,0,16,0,8,0,8,0
ticketmonster Coverage Report microservice Scenario 1,org.jboss.examples.ticketmonster.rest,VenueEndpoint,171,0,10,0,43,0,11,0,6,0
ticketmonster Coverage Report microservice Scenario 1,org.jboss.examples.ticketmonster.rest,EventEndpoint,171,0,10,0,43,0,11,0,6,0
ticketmonster Coverage Report microservice Scenario 1,org.jboss.examples.ticketmonster.rest,EventService,16,18,1,1,2,5,1,2,0,2
ticketmonster Coverage Report microservice Scenario 1,org.jboss.examples.ticketmonster.rest,SectionComparator,0,13,0,0,0,3,0,3,0,3
ticketmonster Coverage Report microservice Scenario 1,org.jboss.examples.ticketmonster.rest,BotState,34,0,0,0,2,0,1,0,1,0
ticketmonster Coverage Report microservice Scenario 1,org.jboss.examples.ticketmonster.rest,BaseEntityService,75,110,2,2,14,22,4,6,2,6
ticketmonster Coverage Report microservice Scenario 1,org.jboss.examples.ticketmonster.rest,PerformanceEndpoint,218,69,9,5,51,18,11,4,5,3
ticketmonster Coverage Report microservice Scenario 1,org.jboss.examples.ticketmonster.rest,SectionEndpoint,102,69,5,5,25,18,7,4,3,3
ticketmonster Coverage Report microservice Scenario 1,org.jboss.examples.ticketmonster.rest,MetricsService,82,0,4,0,20,0,7,0,5,0
ticketmonster Coverage Report microservice Scenario 1,org.jboss.examples.ticketmonster.rest,BookingEndpoint,171,0,10,0,43,0,11,0,6,0
ticketmonster Coverage Report microservice Scenario 1,org.jboss.examples.ticketmonster.rest,PerformanceMetric,22,0,2,0,6,0,4,0,3,0
ticketmonster Coverage Report microservice Scenario 1,org.jboss.examples.ticketmonster.rest,VenueService,0,4,0,0,0,2,0,1,0,1
ticketmonster Coverage Report microservice Scenario 1,org.jboss.examples.ticketmonster.rest,ReaderExceptionMapper,20,3,0,0,6,1,1,1,1,1
ticketmonster Coverage Report microservice Scenario 1,org.jboss.examples.ticketmonster.rest,BookingRequest,28,59,1,3,7,18,3,9,2,8
ticketmonster Coverage Report microservice Scenario 1,org.jboss.examples.ticketmonster.rest,BookingService,329,313,25,19,70,66,22,11,7,4
ticketmonster Coverage Report microservice Scenario 1,org.jboss.examples.ticketmonster.service,AllocatedSeats,3,18,0,0,1,7,1,3,1,3
ticketmonster Coverage Report microservice Scenario 1,org.jboss.examples.ticketmonster.service,Bot,270,69,14,0,66,5,15,1,8,1
ticketmonster Coverage Report microservice Scenario 1,org.jboss.examples.ticketmonster.service,BotService,137,0,10,0,35,0,12,0,7,0
ticketmonster Coverage Report microservice Scenario 1,org.jboss.examples.ticketmonster.service,MediaManager,126,165,21,13,25,45,15,13,1,10
ticketmonster Coverage Report microservice Scenario 1,org.jboss.examples.ticketmonster.service,SeatAllocationService,44,44,4,0,11,12,3,3,1,3
ticketmonster Coverage Report microservice Scenario 1,org.jboss.examples.ticketmonster.service,MediaPath,6,15,0,0,2,6,2,2,2,2
ticketmonster Coverage Report microservice Scenario 1,org.jboss.examples.ticketmonster.servlet,FF4jConsoleServlet,0,3,0,0,0,1,0,1,0,1
ticketmonster Coverage Report microservice Scenario 1,org.ticketmonster.orders.config,TeiidDataSources,16,0,0,0,5,0,4,0,4,0
ticketmonster Coverage Report microservice Scenario 1,org.jboss.examples.ticketmonster.orders,OrdersRequestDTO,62,0,0,0,21,0,10,0,10,0
ticketmonster Coverage Report microservice Scenario 1,org.jboss.examples.ticketmonster.rest.dto,MediaItemDTO,62,0,4,0,23,0,11,0,9,0
ticketmonster Coverage Report microservice Scenario 1,org.jboss.examples.ticketmonster.rest.dto,NestedEventDTO,86,0,6,0,31,0,12,0,9,0
ticketmonster Coverage Report microservice Scenario 1,org.jboss.examples.ticketmonster.rest.dto,NestedShowDTO,44,19,5,1,16,7,6,3,3,3
ticketmonster Coverage Report microservice Scenario 1,org.jboss.examples.ticketmonster.rest.dto,VenueDTO,372,0,34,0,112,0,36,0,19,0
ticketmonster Coverage Report microservice Scenario 1,org.jboss.examples.ticketmonster.rest.dto,SectionDTO,71,57,5,1,26,17,12,8,9,8
ticketmonster Coverage Report microservice Scenario 1,org.jboss.examples.ticketmonster.rest.dto,SectionAllocationDTO,71,0,4,0,25,0,13,0,11,0
ticketmonster Coverage Report microservice Scenario 1,org.jboss.examples.ticketmonster.rest.dto,NestedTicketDTO,81,0,6,0,29,0,12,0,9,0
ticketmonster Coverage Report microservice Scenario 1,org.jboss.examples.ticketmonster.rest.dto,BookingDTO,253,0,28,0,85,0,31,0,17,0
ticketmonster Coverage Report microservice Scenario 1,org.jboss.examples.ticketmonster.rest.dto,NestedPerformanceDTO,78,0,6,0,29,0,11,0,8,0
ticketmonster Coverage Report microservice Scenario 1,org.jboss.examples.ticketmonster.rest.dto,PerformanceDTO,43,36,5,1,15,11,8,5,5,5
ticketmonster Coverage Report microservice Scenario 1,org.jboss.examples.ticketmonster.rest.dto,NestedTicketPriceDTO,78,0,6,0,29,0,11,0,8,0
ticketmonster Coverage Report microservice Scenario 1,org.jboss.examples.ticketmonster.rest.dto,TicketDTO,95,0,8,0,31,0,15,0,11,0
ticketmonster Coverage Report microservice Scenario 1,org.jboss.examples.ticketmonster.rest.dto,TicketPriceDTO,129,0,10,0,40,0,19,0,14,0
ticketmonster Coverage Report microservice Scenario 1,org.jboss.examples.ticketmonster.rest.dto,NestedMediaItemDTO,86,0,6,0,32,0,12,0,9,0
ticketmonster Coverage Report microservice Scenario 1,org.jboss.examples.ticketmonster.rest.dto,EventDTO,112,0,8,0,35,0,17,0,13,0
ticketmonster Coverage Report microservice Scenario 1,org.jboss.examples.ticketmonster.rest.dto,EventCategoryDTO,28,19,3,1,11,7,6,3,4,3
ticketmonster Coverage Report microservice Scenario 1,org.jboss.examples.ticketmonster.rest.dto,NestedVenueDTO,83,43,7,1,29,13,11,6,7,6
ticketmonster Coverage Report microservice Scenario 1,org.jboss.examples.ticketmonster.rest.dto,ShowDTO,466,0,56,0,149,0,44,0,16,0
ticketmonster Coverage Report microservice Scenario 1,org.jboss.examples.ticketmonster.rest.dto,NestedEventCategoryDTO,71,0,6,0,27,0,10,0,7,0
ticketmonster Coverage Report microservice Scenario 1,org.jboss.examples.ticketmonster.rest.dto,NestedSectionDTO,127,0,6,0,45,0,18,0,15,0
ticketmonster Coverage Report microservice Scenario 1,org.jboss.examples.ticketmonster.rest.dto,NestedTicketCategoryDTO,71,0,6,0,27,0,10,0,7,0
ticketmonster Coverage Report microservice Scenario 1,org.jboss.examples.ticketmonster.rest.dto,TicketCategoryDTO,47,0,4,0,18,0,9,0,7,0
ticketmonster Coverage Report microservice Scenario 1,org.jboss.examples.ticketmonster.rest.dto,AddressDTO,35,26,3,1,14,9,7,4,5,4
ticketmonster Coverage Report microservice Scenario 1,org.jboss.examples.ticketmonster.rest.dto,SeatDTO,70,0,6,0,24,0,12,0,9,0
ticketmonster Coverage Report microservice Scenario 1,org.ticketmonster.orders.domain,PerformanceId,87,0,16,0,16,0,14,0,6,0
ticketmonster Coverage Report microservice Scenario 1,org.ticketmonster.orders.domain,VenueId,87,0,16,0,16,0,14,0,6,0
ticketmonster Coverage Report microservice Scenario 1,org.ticketmonster.orders.domain,SyntheticBooking,33,0,0,0,11,0,3,0,3,0
ticketmonster Coverage Report microservice Scenario 1,org.ticketmonster.orders.domain,TicketPriceGuide,159,0,30,0,33,0,29,0,14,0
ticketmonster Coverage Report microservice Scenario 1,org.ticketmonster.orders.domain,Seat,44,0,0,0,11,0,6,0,6,0
ticketmonster Coverage Report microservice Scenario 1,org.ticketmonster.orders.domain,Ticket,47,0,0,0,12,0,7,0,7,0
