Iteration,Average Joules,Date
1,302.7049715,oct-24
2,301.62358075,oct-24
3,780.7482755,oct-24
4,339.76976025,oct-24
5,458.91633625,oct-24
6,540.90653975,oct-24
7,426.96807850000005,oct-24
8,325.641617,oct-24
9,289.22465525,oct-24
10,305.44699099999997,oct-24
11,303.12562549999996,oct-24
12,348.37568650000003,oct-24
13,303.7899475,oct-24
14,322.149933,oct-24
15,326.5221405,oct-24
16,455.190689,oct-24
17,425.84590125,oct-24
18,313.71658325,oct-24
19,295.81370525,oct-24
20,446.118408,oct-24
21,336.93910225,oct-24
22,288.8135225,oct-24
23,310.171814,oct-24
24,380.3951265,oct-24
25,416.479477,oct-24
26,475.8032075,oct-24
27,483.040222,oct-24
28,325.28880325,oct-24
29,301.3409425,oct-24
30,292.5974885,oct-24
