Iteration,Architecture,ScenarioPath,Joules,refined
1,micro,1,668.185575,TRUE
1,mono,1,668.185575,TRUE
2,micro,1,723.1220544,TRUE
2,mono,1,723.1220544,TRUE
3,micro,1,682.1884708,TRUE
3,mono,1,682.1884708,TRUE
4,micro,1,697.2456131,TRUE
4,mono,1,697.2456131,TRUE
5,micro,1,684.2078458,TRUE
5,mono,1,684.2078458,TRUE
6,micro,1,708.54084,TRUE
6,mono,1,708.54084,TRUE
7,micro,1,684.4240042,TRUE
7,mono,1,684.4240042,TRUE
8,micro,1,679.9074304,TRUE
8,mono,1,679.9074304,TRUE
9,micro,1,680.4648917,TRUE
9,mono,1,680.4648917,TRUE
10,micro,1,676.5114674,TRUE
10,mono,1,676.5114674,TRUE
11,micro,1,681.6556592,TRUE
11,mono,1,681.6556592,TRUE
12,micro,1,659.0348675,TRUE
12,mono,1,659.0348675,TRUE
13,micro,1,693.862923,TRUE
13,mono,1,693.862923,TRUE
14,micro,1,660.5062618,TRUE
14,mono,1,660.5062618,TRUE
15,micro,1,711.9993751,TRUE
15,mono,1,711.9993751,TRUE
16,micro,1,676.175853,TRUE
16,mono,1,676.175853,TRUE
17,micro,1,801.3202164,TRUE
17,mono,1,801.3202164,TRUE
18,micro,1,677.2699181,TRUE
18,mono,1,677.2699181,TRUE
19,micro,1,688.4115587,TRUE
19,mono,1,688.4115587,TRUE
20,micro,1,716.8212254,TRUE
20,mono,1,716.8212254,TRUE
21,micro,1,710.2914419,TRUE
21,mono,1,710.2914419,TRUE
22,micro,1,674.2161479,TRUE
22,mono,1,674.2161479,TRUE
23,micro,1,710.3749759,TRUE
23,mono,1,710.3749759,TRUE
24,micro,1,655.8690454,TRUE
24,mono,1,655.8690454,TRUE
25,micro,1,710.6578524,TRUE
25,mono,1,710.6578524,TRUE
26,micro,1,743.2968617,TRUE
26,mono,1,743.2968617,TRUE
27,micro,1,690.0667231,TRUE
27,mono,1,690.0667231,TRUE
28,micro,1,672.1657681,TRUE
28,mono,1,672.1657681,TRUE
29,micro,1,669.5933008,TRUE
29,mono,1,669.5933008,TRUE
30,micro,1,660.1938281,TRUE
30,mono,1,660.1938281,TRUE
1,micro,2,250.4933014,TRUE
1,mono,2,250.4933014,TRUE
2,micro,2,271.0882089,TRUE
2,mono,2,271.0882089,TRUE
3,micro,2,255.7427886,TRUE
3,mono,2,255.7427886,TRUE
4,micro,2,261.3874978,TRUE
4,mono,2,261.3874978,TRUE
5,micro,2,256.4998236,TRUE
5,mono,2,256.4998236,TRUE
6,micro,2,265.6219182,TRUE
6,mono,2,265.6219182,TRUE
7,micro,2,256.5808584,TRUE
7,mono,2,256.5808584,TRUE
8,micro,2,254.8876588,TRUE
8,mono,2,254.8876588,TRUE
9,micro,2,255.0966432,TRUE
9,mono,2,255.0966432,TRUE
10,micro,2,253.6145605,TRUE
10,mono,2,253.6145605,TRUE
11,micro,2,255.543045,TRUE
11,mono,2,255.543045,TRUE
12,micro,2,247.0628308,TRUE
12,mono,2,247.0628308,TRUE
13,micro,2,260.1193752,TRUE
13,mono,2,260.1193752,TRUE
14,micro,2,247.6144357,TRUE
14,mono,2,247.6144357,TRUE
15,micro,2,266.918474,TRUE
15,mono,2,266.918474,TRUE
16,micro,2,253.4887434,TRUE
16,mono,2,253.4887434,TRUE
17,micro,2,300.4035915,TRUE
17,mono,2,300.4035915,TRUE
18,micro,2,253.8988929,TRUE
18,mono,2,253.8988929,TRUE
19,micro,2,258.075736,TRUE
19,mono,2,258.075736,TRUE
20,micro,2,268.7261174,TRUE
20,mono,2,268.7261174,TRUE
21,micro,2,266.2781941,TRUE
21,mono,2,266.2781941,TRUE
22,micro,2,252.7540777,TRUE
22,mono,2,252.7540777,TRUE
23,micro,2,266.3095098,TRUE
23,mono,2,266.3095098,TRUE
24,micro,2,245.876009,TRUE
24,mono,2,245.876009,TRUE
25,micro,2,266.4155562,TRUE
25,mono,2,266.4155562,TRUE
26,micro,2,278.6514582,TRUE
26,mono,2,278.6514582,TRUE
27,micro,2,258.6962337,TRUE
27,mono,2,258.6962337,TRUE
28,micro,2,251.9854194,TRUE
28,mono,2,251.9854194,TRUE
29,micro,2,251.0210378,TRUE
29,mono,2,251.0210378,TRUE
30,micro,2,247.4973087,TRUE
30,mono,2,247.4973087,TRUE
1,micro,3,290.3654864,TRUE
1,mono,3,290.3654864,TRUE
2,micro,3,314.2385812,TRUE
2,mono,3,314.2385812,TRUE
3,micro,3,296.4505589,TRUE
3,mono,3,296.4505589,TRUE
4,micro,3,302.9937627,TRUE
4,mono,3,302.9937627,TRUE
5,micro,3,297.3280947,TRUE
5,mono,3,297.3280947,TRUE
6,micro,3,307.9021956,TRUE
6,mono,3,307.9021956,TRUE
7,micro,3,297.4220281,TRUE
7,mono,3,297.4220281,TRUE
8,micro,3,295.4593142,TRUE
8,mono,3,295.4593142,TRUE
9,micro,3,295.7015635,TRUE
9,mono,3,295.7015635,TRUE
10,micro,3,293.9835708,TRUE
10,mono,3,293.9835708,TRUE
11,micro,3,296.2190212,TRUE
11,mono,3,296.2190212,TRUE
12,micro,3,286.3889719,TRUE
12,mono,3,286.3889719,TRUE
13,micro,3,301.5237872,TRUE
13,mono,3,301.5237872,TRUE
14,micro,3,287.0283783,TRUE
14,mono,3,287.0283783,TRUE
15,micro,3,309.4051302,TRUE
15,mono,3,309.4051302,TRUE
16,micro,3,293.8377268,TRUE
16,mono,3,293.8377268,TRUE
17,micro,3,348.2202297,TRUE
17,mono,3,348.2202297,TRUE
18,micro,3,294.3131617,TRUE
18,mono,3,294.3131617,TRUE
19,micro,3,299.1548524,TRUE
19,mono,3,299.1548524,TRUE
20,micro,3,311.5005045,TRUE
20,mono,3,311.5005045,TRUE
21,micro,3,308.662934,TRUE
21,mono,3,308.662934,TRUE
22,micro,3,292.986121,TRUE
22,mono,3,292.986121,TRUE
23,micro,3,308.6992343,TRUE
23,mono,3,308.6992343,TRUE
24,micro,3,285.0132381,TRUE
24,mono,3,285.0132381,TRUE
25,micro,3,308.8221606,TRUE
25,mono,3,308.8221606,TRUE
26,micro,3,323.0057081,TRUE
26,mono,3,323.0057081,TRUE
27,micro,3,299.8741176,TRUE
27,mono,3,299.8741176,TRUE
28,micro,3,292.0951117,TRUE
28,mono,3,292.0951117,TRUE
29,micro,3,290.9772251,TRUE
29,mono,3,290.9772251,TRUE
30,micro,3,286.8926076,TRUE
30,mono,3,286.8926076,TRUE
