Iteration,Architecture,ScenarioPath,Average_Temperature,refined
27,mono,2,14939.228493950775,True
27,mono,3,17304.9714226116,True
28,micro,1,7154.299165623698,True
28,micro,2,8558.824155193995,True
28,micro,3,17249.322528160206,True
28,mono,1,39941.17939090531,True
28,mono,2,14966.969420108473,True
28,mono,3,17337.105340008347,True
29,micro,1,7117.646266166043,True
29,micro,2,8514.975594493118,True
29,micro,3,17160.9508135169,True
29,mono,1,39736.55277430122,True
29,mono,2,14890.290654985403,True
29,mono,3,17248.283896537345,True
30,micro,1,6945.0580308719245,True
30,micro,2,8308.505006257825,True
30,micro,3,16744.833166458076,True
30,mono,1,38773.023362536514,True
30,mono,2,14529.23183145599,True
30,mono,3,16830.048602419694,True
