Iteration,Architecture,ScenarioPath,Average_CPU,refined
28,mono,3,1101.8852106800168,True
29,micro,1,458.1163621193158,True
29,micro,2,548.0533166458072,True
29,micro,3,1104.538222778473,True
29,mono,1,2557.5821443471004,True
29,mono,2,958.3906716729244,True
29,mono,3,1110.1592824363788,True
30,micro,1,457.8667959949937,True
30,micro,2,547.7547559449312,True
30,micro,3,1103.9365081351689,True
30,mono,1,2556.1888610763453,True
30,mono,2,957.8685732165206,True
30,mono,3,1109.55450563204,True
