Iteration,Architecture,ScenarioPath,Average_Temperature,refined
1,micro,1,21.790000000000006,True
1,micro,2,21.790000000000006,True
1,micro,3,21.790000000000006,True
1,mono,1,21.790000000000006,True
1,mono,2,21.790000000000006,True
1,mono,3,21.790000000000006,True
2,micro,1,21.808125000000004,True
2,micro,2,21.808125000000008,True
2,micro,3,21.808125000000008,True
2,mono,1,21.808125000000008,True
2,mono,2,21.808125000000008,True
2,mono,3,21.808125000000004,True
3,micro,1,21.91791666666667,True
3,micro,2,21.917916666666674,True
3,micro,3,21.917916666666674,True
3,mono,1,21.917916666666674,True
3,mono,2,21.917916666666674,True
3,mono,3,21.91791666666667,True
4,micro,1,21.930000000000007,True
4,micro,2,21.930000000000007,True
4,micro,3,21.93000000000001,True
4,mono,1,21.930000000000007,True
4,mono,2,21.930000000000007,True
4,mono,3,21.930000000000007,True
5,micro,1,21.934375000000006,True
5,micro,2,21.934375000000006,True
5,micro,3,21.934375000000006,True
5,mono,1,21.934375000000006,True
5,mono,2,21.934375000000006,True
5,mono,3,21.934375000000003,True
6,micro,1,21.92958333333334,True
6,micro,2,21.92958333333334,True
6,micro,3,21.929583333333337,True
6,mono,1,21.929583333333337,True
6,mono,2,21.92958333333334,True
6,mono,3,21.92958333333334,True
7,micro,1,21.986875000000005,True
7,micro,2,21.986875000000005,True
7,micro,3,21.986875000000005,True
7,mono,1,21.986875000000005,True
7,mono,2,21.986875000000005,True
7,mono,3,21.986875,True
8,micro,1,21.941250000000004,True
8,micro,2,21.941250000000004,True
8,micro,3,21.941250000000007,True
8,mono,1,21.941250000000007,True
8,mono,2,21.941250000000007,True
8,mono,3,21.941250000000007,True
9,micro,1,21.90541666666667,True
9,micro,2,21.905416666666675,True
9,micro,3,21.905416666666675,True
9,mono,1,21.905416666666675,True
9,mono,2,21.905416666666675,True
9,mono,3,21.90541666666667,True
10,micro,1,21.783750000000005,True
10,micro,2,21.783750000000005,True
10,micro,3,21.783750000000005,True
10,mono,1,21.783750000000005,True
10,mono,2,21.78375000000001,True
10,mono,3,21.78375000000001,True
11,micro,1,21.66729166666667,True
11,micro,2,21.66729166666667,True
11,micro,3,21.667291666666674,True
11,mono,1,21.667291666666674,True
11,mono,2,21.66729166666667,True
11,mono,3,21.667291666666674,True
12,micro,1,21.590208333333337,True
12,micro,2,21.590208333333337,True
12,micro,3,21.59020833333334,True
12,mono,1,21.59020833333334,True
12,mono,2,21.59020833333334,True
12,mono,3,21.590208333333337,True
13,micro,1,21.517291666666676,True
13,micro,2,21.517291666666676,True
13,micro,3,21.517291666666672,True
13,mono,1,21.517291666666676,True
13,mono,2,21.517291666666672,True
13,mono,3,21.517291666666676,True
14,micro,1,21.468125000000008,True
14,micro,2,21.468125000000004,True
14,micro,3,21.468125000000004,True
14,mono,1,21.468125000000004,True
14,mono,2,21.468125000000004,True
14,mono,3,21.468125000000008,True
15,micro,1,21.60583333333334,True
15,micro,2,21.60583333333334,True
15,micro,3,21.60583333333334,True
15,mono,1,21.60583333333334,True
15,mono,2,21.60583333333334,True
15,mono,3,21.605833333333337,True
16,micro,1,21.40395833333334,True
16,micro,2,21.40395833333334,True
16,micro,3,21.40395833333334,True
16,mono,1,21.40395833333334,True
16,mono,2,21.40395833333334,True
16,mono,3,21.40395833333334,True
17,micro,1,21.333958333333335,True
17,micro,2,21.33395833333334,True
17,micro,3,21.333958333333335,True
17,mono,1,21.33395833333334,True
17,mono,2,21.33395833333334,True
17,mono,3,21.33395833333334,True
18,micro,1,21.17291666666667,True
18,micro,2,21.172916666666673,True
18,micro,3,21.17291666666667,True
18,mono,1,21.172916666666673,True
18,mono,2,21.172916666666673,True
18,mono,3,21.172916666666673,True
19,micro,1,21.193333333333335,True
19,micro,2,21.19333333333334,True
19,micro,3,21.193333333333335,True
19,mono,1,21.19333333333334,True
19,mono,2,21.19333333333334,True
19,mono,3,21.19333333333334,True
20,micro,1,21.184166666666673,True
20,micro,2,21.184166666666673,True
20,micro,3,21.184166666666673,True
20,mono,1,21.18416666666667,True
20,mono,2,21.18416666666667,True
20,mono,3,21.184166666666673,True
21,micro,1,21.11695869837297,True
21,micro,2,21.11695869837297,True
21,micro,3,21.11695869837297,True
21,mono,1,21.11695869837297,True
21,mono,2,21.11695869837297,True
21,mono,3,21.116958698372965,True
22,micro,1,21.029766374634963,True
22,micro,2,21.02976637463496,True
22,micro,3,21.029766374634963,True
22,mono,1,21.02976637463496,True
22,mono,2,21.029766374634963,True
22,mono,3,21.029766374634963,True
23,micro,1,21.71937838965374,True
23,micro,2,21.71937838965374,True
23,micro,3,21.719378389653738,True
23,mono,1,21.719378389653738,True
23,mono,2,21.71937838965374,True
23,mono,3,21.719378389653738,True
24,micro,1,22.00869837296621,True
24,micro,2,22.00869837296621,True
24,micro,3,22.00869837296621,True
24,mono,1,22.008698372966215,True
24,mono,2,22.008698372966215,True
24,mono,3,22.00869837296621,True
25,micro,1,22.108197747183986,True
25,micro,2,22.108197747183983,True
25,micro,3,22.108197747183986,True
25,mono,1,22.108197747183986,True
25,mono,2,22.108197747183983,True
25,mono,3,22.108197747183986,True
26,micro,1,21.880413016270342,True
26,micro,2,21.88041301627034,True
26,micro,3,21.880413016270342,True
26,mono,1,21.880413016270342,True
26,mono,2,21.880413016270342,True
26,mono,3,21.880413016270342,True
27,micro,1,21.905027117229874,True
27,micro,2,21.905027117229874,True
27,micro,3,21.905027117229874,True
27,mono,1,21.905027117229878,True
27,mono,2,21.905027117229874,True
27,mono,3,21.905027117229874,True
28,micro,1,21.945702962035885,True
28,micro,2,21.945702962035885,True
28,micro,3,21.945702962035885,True
28,mono,1,21.945702962035885,True
28,mono,2,21.945702962035885,True
28,mono,3,21.945702962035885,True
29,micro,1,21.83327075511056,True
29,micro,2,21.83327075511056,True
29,micro,3,21.83327075511056,True
29,mono,1,21.83327075511056,True
29,mono,2,21.83327075511056,True
29,mono,3,21.83327075511056,True
30,micro,1,21.303858990404677,True
30,micro,2,21.303858990404677,True
30,micro,3,21.303858990404677,True
30,mono,1,21.303858990404677,True
30,mono,2,21.303858990404677,True
30,mono,3,21.303858990404677,True
