Iteration,Architecture,ScenarioPath,Joules,refined
1,micro,1,90.0644864,True
1,mono,1,90.3654864,True
2,micro,1,104.0385812,True
2,mono,1,104.2385812,True
3,micro,1,96.15055889999998,True
3,mono,1,96.45055889999998,True
4,micro,1,99.4937627,True
4,mono,1,99.9937627,True
5,micro,1,97.0280947,True
5,mono,1,97.3280947,True
6,micro,1,104.60219560000004,True
6,mono,1,104.90219560000004,True
7,micro,1,97.02202809999998,True
7,mono,1,97.42202809999998,True
8,micro,1,95.3593142,True
8,mono,1,95.4593142,True
9,micro,1,95.37156350000002,True
9,mono,1,95.70156350000002,True
10,micro,1,93.3835708,True
10,mono,1,93.9835708,True
11,micro,1,95.7190212,True
11,mono,1,96.2190212,True
12,micro,1,85.9889719,True
12,mono,1,86.3889719,True
13,micro,1,98.22378720000002,True
13,mono,1,98.52378720000002,True
14,micro,1,86.62837829999999,True
14,mono,1,87.02837829999999,True
15,micro,1,98.80513019999996,True
15,mono,1,99.40513019999996,True
16,micro,1,93.53772679999998,True
16,mono,1,93.83772679999998,True
17,micro,1,107.7202297,True
17,mono,1,108.2202297,True
18,micro,1,93.91316170000002,True
18,mono,1,94.31316170000002,True
19,micro,1,98.45485239999998,True
19,mono,1,99.15485239999998,True
20,micro,1,107.10050449999998,True
20,mono,1,107.50050449999998,True
21,micro,1,105.462934,True
21,mono,1,105.662934,True
22,micro,1,92.88612100000004,True
22,mono,1,92.98612100000004,True
23,micro,1,105.5992343,True
23,mono,1,105.6992343,True
24,micro,1,89.81323810000002,True
24,mono,1,90.01323810000002,True
25,micro,1,103.52216060000002,True
25,mono,1,103.82216060000002,True
26,micro,1,107.7057081,True
26,mono,1,108.0057081,True
27,micro,1,99.57411759999998,True
27,mono,1,99.87411759999998,True
28,micro,1,91.99511170000002,True
28,mono,1,92.09511170000002,True
29,micro,1,90.5272251,True
29,mono,1,90.9772251,True
30,micro,1,86.29260760000002,True
30,mono,1,86.89260760000002,True
