Iteration,Architecture,ScenarioPath,Joules,refined
1,micro,2,140.3654864,True
1,mono,2,140.3654864,True
2,micro,2,164.2385812,True
2,mono,2,164.2385812,True
3,micro,2,146.45055889999998,True
3,mono,2,146.45055889999998,True
4,micro,2,152.9937627,True
4,mono,2,152.9937627,True
5,micro,2,147.3280947,True
5,mono,2,147.3280947,True
6,micro,2,157.90219560000004,True
6,mono,2,157.90219560000004,True
7,micro,2,147.42202809999998,True
7,mono,2,147.42202809999998,True
8,micro,2,145.4593142,True
8,mono,2,145.4593142,True
9,micro,2,145.70156350000002,True
9,mono,2,145.70156350000002,True
10,micro,2,143.9835708,True
10,mono,2,143.9835708,True
11,micro,2,146.2190212,True
11,mono,2,146.2190212,True
12,micro,2,136.3889719,True
12,mono,2,136.3889719,True
13,micro,2,151.52378720000002,True
13,mono,2,151.52378720000002,True
14,micro,2,137.02837829999999,True
14,mono,2,137.02837829999999,True
15,micro,2,159.40513019999996,True
15,mono,2,159.40513019999996,True
16,micro,2,143.83772679999998,True
16,mono,2,143.83772679999998,True
17,micro,2,178.2202297,True
17,mono,2,178.2202297,True
18,micro,2,144.31316170000002,True
18,mono,2,144.31316170000002,True
19,micro,2,149.15485239999998,True
19,mono,2,149.15485239999998,True
20,micro,2,171.50050449999998,True
20,mono,2,171.50050449999998,True
21,micro,2,168.662934,True
21,mono,2,168.662934,True
22,micro,2,152.98612100000004,True
22,mono,2,152.98612100000004,True
23,micro,2,168.6992343,True
23,mono,2,168.6992343,True
24,micro,2,145.01323810000002,True
24,mono,2,145.01323810000002,True
25,micro,2,168.82216060000002,True
25,mono,2,168.82216060000002,True
26,micro,2,183.0057081,True
26,mono,2,183.0057081,True
27,micro,2,159.87411759999998,True
27,mono,2,159.87411759999998,True
28,micro,2,152.09511170000002,True
28,mono,2,152.09511170000002,True
29,micro,2,150.9772251,True
29,mono,2,150.9772251,True
30,micro,2,146.89260760000002,True
30,mono,2,146.89260760000002,True
