InputFileName,Architecture,ExperimentDate,ScenarioPath,NumberOfInstances,SleepTime,WorkloadIterations,NumberOfIterations,StartTimestamp,MonolithExperiment,MicroserviceExperiment,MonoFrontendDuration,MonoBackendDuration,MicroFrontendDuration,MicroBackendDuration,C-State,Resident,Count,Latency
2-api-monitor.csv,micro,29-02-24T21-03-08,1,5,300,50,30,29-02-24T21-03-08,29-02-24T21-03-24,01-03-24T04-53-42,,,,,1,C10,89.918%,34828,890
2-api-monitor.csv,micro,29-02-24T21-03-08,1,5,300,50,30,29-02-24T21-03-08,29-02-24T21-03-24,01-03-24T04-53-42,,,,,2,C9,0.036%,180,480
2-api-monitor.csv,micro,29-02-24T21-03-08,1,5,300,50,30,29-02-24T21-03-08,29-02-24T21-03-24,01-03-24T04-53-42,,,,,3,C8,6.656%,22996,200
2-api-monitor.csv,micro,29-02-24T21-03-08,1,5,300,50,30,29-02-24T21-03-08,29-02-24T21-03-24,01-03-24T04-53-42,,,,,4,C7s,0.013%,109,124
2-api-monitor.csv,micro,29-02-24T21-03-08,1,5,300,50,30,29-02-24T21-03-08,29-02-24T21-03-24,01-03-24T04-53-42,,,,,5,C6,0.736%,10638,85
2-api-monitor.csv,micro,29-02-24T21-03-08,1,5,300,50,30,29-02-24T21-03-08,29-02-24T21-03-24,01-03-24T04-53-42,,,,,6,C3,0.083%,2781,70
2-api-monitor.csv,micro,29-02-24T21-03-08,1,5,300,50,30,29-02-24T21-03-08,29-02-24T21-03-24,01-03-24T04-53-42,,,,,7,C1E,0.767%,28027,10
2-api-monitor.csv,micro,29-02-24T21-03-08,1,5,300,50,30,29-02-24T21-03-08,29-02-24T21-03-24,01-03-24T04-53-42,,,,,8,C1,0.299%,16913,2
2-api-monitor.csv,micro,29-02-24T21-03-08,1,5,300,50,30,29-02-24T21-03-08,29-02-24T21-03-24,01-03-24T04-53-42,,,,,9,POLL,0.005%,4546,0
2-api-monitor.csv,micro,29-02-24T21-03-08,1,5,300,50,30,29-02-24T21-03-08,29-02-24T21-03-24,01-03-24T04-53-42,,,,,10,C0,1.488%
27-api-baseline.csv,micro,29-02-24T21-03-08,1,5,300,50,30,29-02-24T21-03-08,29-02-24T21-03-24,01-03-24T04-53-42,,,,,1,C10,89.821%,34509,890
27-api-baseline.csv,micro,29-02-24T21-03-08,1,5,300,50,30,29-02-24T21-03-08,29-02-24T21-03-24,01-03-24T04-53-42,,,,,2,C9,0.037%,157,480
27-api-baseline.csv,micro,29-02-24T21-03-08,1,5,300,50,30,29-02-24T21-03-08,29-02-24T21-03-24,01-03-24T04-53-42,,,,,3,C8,6.747%,23180,200
27-api-baseline.csv,micro,29-02-24T21-03-08,1,5,300,50,30,29-02-24T21-03-08,29-02-24T21-03-24,01-03-24T04-53-42,,,,,4,C7s,0.008%,92,124
27-api-baseline.csv,micro,29-02-24T21-03-08,1,5,300,50,30,29-02-24T21-03-08,29-02-24T21-03-24,01-03-24T04-53-42,,,,,5,C6,0.741%,10752,85
27-api-baseline.csv,micro,29-02-24T21-03-08,1,5,300,50,30,29-02-24T21-03-08,29-02-24T21-03-24,01-03-24T04-53-42,,,,,6,C3,0.078%,2756,70
27-api-baseline.csv,micro,29-02-24T21-03-08,1,5,300,50,30,29-02-24T21-03-08,29-02-24T21-03-24,01-03-24T04-53-42,,,,,7,C1E,0.717%,28178,10
27-api-baseline.csv,micro,29-02-24T21-03-08,1,5,300,50,30,29-02-24T21-03-08,29-02-24T21-03-24,01-03-24T04-53-42,,,,,8,C1,0.307%,17618,2
27-api-baseline.csv,micro,29-02-24T21-03-08,1,5,300,50,30,29-02-24T21-03-08,29-02-24T21-03-24,01-03-24T04-53-42,,,,,9,POLL,0.005%,4664,0
27-api-baseline.csv,micro,29-02-24T21-03-08,1,5,300,50,30,29-02-24T21-03-08,29-02-24T21-03-24,01-03-24T04-53-42,,,,,10,C0,1.541%
19-api-baseline.csv,micro,29-02-24T21-03-08,1,5,300,50,30,29-02-24T21-03-08,29-02-24T21-03-24,01-03-24T04-53-42,,,,,1,C10,90.033%,33882,890
19-api-baseline.csv,micro,29-02-24T21-03-08,1,5,300,50,30,29-02-24T21-03-08,29-02-24T21-03-24,01-03-24T04-53-42,,,,,2,C9,0.055%,183,480
