Iteration,Architecture,ScenarioPath,Joules,refined
10,micro,1,93.3835708,True
20,micro,1,107.10050449999999,True
30,micro,1,86.29260760000003,True
Min,micro,1,85.9889719,
Max,micro,1,107.7202297,
Average,micro,1,97.06614593666669,
10,mono,1,93.9835708,True
20,mono,1,107.50050449999998,True
30,mono,1,86.89260760000002,True
Min,mono,1,86.3889719,
Max,mono,1,108.2202297,
Average,mono,1,97.41551260333333,
10,micro,2,135.615067310088,True
20,micro,2,153.13200101008798,True
30,micro,2,138.52410411008802,True
Min,micro,2,128.020468410088,
Max,micro,2,164.637204610088,
Average,micro,2,142.013675780088,
10,mono,2,143.9835708,True
20,mono,2,161.50050449999998,True
30,mono,2,146.89260760000002,True
Min,mono,2,136.3889719,
Max,mono,2,173.0057081,
Average,mono,2,150.54884593666668,
10,micro,3,193.9835708,True
20,micro,3,221.5005045,True
30,micro,3,196.8926076,True
Min,micro,3,186.3889719,
Max,micro,3,233.0057081,
Average,micro,3,203.54884593666665,
10,mono,3,213.9835708,True
20,mono,3,241.5005045,True
30,mono,3,216.8926076,True
Min,mono,3,206.3889719,
Max,mono,3,253.0057081,
Average,mono,3,223.54884593666665,
