,Cumulative Package Energy_0 (Joules)
Architecture,mono
#,
1,475.69258125000005
2,485.4072115
3,442.03047174999995
4,182.11059550000002
5,61.936386
6,420.0551605
7,420.34182725
8,402.18040475
9,431.4867555
10,405.4194335
11,413.83210725
12,406.16748025
13,413.4601285
14,381.17417924999995
15,387.09262075
16,435.0253295
17,423.0838625
18,429.41914375
19,376.79817199999997
20,380.21484375
21,298.942337
22,493.31933625
23,464.1283875
24,400.78135675000004
25,378.37585475
26,177.2335665
27,265.023056
28,451.750824
29,50.9684905
30,39.24156175
