Iteration,Architecture,ScenarioPath,Joules
10,micro,1,
10,mono,1,533.1873514843073
20,micro,1,
20,mono,1,548.0982163118105
30,micro,1,
30,mono,1,524.8460610994507
Min,micro,1,613.3041356892579
Min,mono,1,502.92592590203697
Max,micro,1,753.5099373085343
Max,mono,1,740.7205960542683
Average,micro,1,657.9815688899685
Average,mono,1,579.663127583454
