Iteration,Architecture,ScenarioPath,Average_CPU,refined
1,micro,1,606.5418356456777,True
1,mono,1,2165.798164354322,True
2,micro,1,650.1495205347167,True
2,mono,1,2053.1704794652837,True
3,micro,1,677.8748210023866,True
3,mono,1,2093.1451789976136,True
4,micro,1,609.9655131264917,True
4,mono,1,1883.4544868735084,True
5,micro,1,645.4613365155132,True
5,mono,1,1993.058663484487,True
6,micro,1,613.4881861575179,True
6,mono,1,1894.331813842482,True
7,micro,1,607.289260143198,True
7,mono,1,1875.1907398568019,True
8,micro,1,679.2912291169451,True
8,mono,1,2097.518770883055,True
9,micro,1,337.994693877551,True
9,mono,1,2097.555306122449,True
10,micro,1,300.6432653061225,True
10,mono,1,1865.7567346938777,True
11,micro,1,297.2391020408163,True
11,mono,1,1844.6308979591836,True
12,micro,1,294.60097959183673,True
12,mono,1,1828.2590204081632,True
13,micro,1,295.04506122448976,True
13,mono,1,1831.0149387755098,True
14,micro,1,293.83355102040815,True
14,mono,1,1823.4964489795918,True
15,micro,1,338.77322448979595,True
15,mono,1,2102.386775510204,True
16,micro,1,344.4324897959184,True
16,mono,1,2137.507510204082,True
17,micro,1,301.43151020408163,True
17,mono,1,1870.6484897959183,True
18,micro,1,295.4044897959184,True
18,mono,1,1833.2455102040817,True
19,micro,1,298.4755918367347,True
19,mono,1,1852.3044081632652,True
20,micro,1,297.3862040816327,True
20,mono,1,1845.5437959183673,True
21,micro,1,336.16285714285715,True
21,mono,1,2086.1871428571426,True
22,micro,1,294.69118367346937,True
22,mono,1,1828.8188163265306,True
23,micro,1,296.95599999999996,True
23,mono,1,1842.8739999999998,True
24,micro,1,316.8730612244898,True
24,mono,1,1966.4769387755102,True
25,micro,1,295.5765714285714,True
25,mono,1,1834.3134285714286,True
26,micro,1,294.9784489795918,True
26,mono,1,1830.6015510204081,True
27,micro,1,294.0278367346939,True
27,mono,1,1824.7021632653061,True
28,micro,1,315.5852244897959,True
28,mono,1,1958.484775510204,True
29,micro,1,293.7558367346939,True
29,mono,1,1823.0141632653063,True
30,micro,1,293.6795102040816,True
30,mono,1,1822.5404897959183,True
