Iteration,Architecture,ScenarioPath,Average_CPU,refined
1,micro,1,1.4793703308431163,True
1,mono,1,1.4793703308431163,True
2,micro,1,1.5857305378895528,True
2,mono,1,1.587912203762787,True
3,micro,1,1.6533532219570406,True
3,mono,1,1.6533532219570408,True
4,micro,1,1.4877207637231504,True
4,mono,1,1.4877207637231504,True
5,micro,1,1.574295942720764,True
5,mono,1,1.5742959427207637,True
6,micro,1,1.4963126491646779,True
6,mono,1,1.4963126491646777,True
7,micro,1,1.481193317422434,True
7,mono,1,1.4811933174224343,True
8,micro,1,1.6568078758949882,True
8,mono,1,1.656807875894988,True
9,micro,1,1.6568367346938775,True
9,mono,1,1.6568367346938777,True
10,micro,1,1.4737414965986397,True
10,mono,1,1.4737414965986395,True
11,micro,1,1.4570544217687074,True
11,mono,1,1.4570544217687074,True
12,micro,1,1.4441224489795919,True
12,mono,1,1.4441224489795919,True
13,micro,1,1.446299319727891,True
13,mono,1,1.4462993197278908,True
14,micro,1,1.440360544217687,True
14,mono,1,1.440360544217687,True
15,micro,1,1.6606530612244899,True
15,mono,1,1.6606530612244899,True
16,micro,1,1.6883945578231294,True
16,mono,1,1.6883945578231294,True
17,micro,1,1.4776054421768707,True
17,mono,1,1.4776054421768707,True
18,micro,1,1.448061224489796,True
18,mono,1,1.448061224489796,True
19,micro,1,1.4631156462585033,True
19,mono,1,1.4631156462585033,True
20,micro,1,1.4577755102040817,True
20,mono,1,1.4577755102040817,True
21,micro,1,1.647857142857143,True
21,mono,1,1.6478571428571427,True
22,micro,1,1.44456462585034,True
22,mono,1,1.4445646258503402,True
23,micro,1,1.4556666666666664,True
23,mono,1,1.4556666666666664,True
24,micro,1,1.553299319727891,True
24,mono,1,1.5532993197278913,True
25,micro,1,1.448904761904762,True
25,mono,1,1.448904761904762,True
26,micro,1,1.4459727891156462,True
26,mono,1,1.4459727891156462,True
27,micro,1,1.441312925170068,True
27,mono,1,1.441312925170068,True
28,micro,1,1.546986394557823,True
28,mono,1,1.546986394557823,True
29,micro,1,1.4399795918367349,True
29,mono,1,1.4399795918367349,True
30,micro,1,1.4396054421768707,True
30,mono,1,1.4396054421768707,True
