Iteration,Architecture,ScenarioPath,Average_Temperature,refined
1,micro,1,24.706883671291365,True
1,mono,1,24.70688367129137,True
2,micro,1,24.01627947080167,True
2,mono,1,24.02743651737922,True
3,micro,1,23.63830548926015,True
3,mono,1,23.63830548926015,True
4,micro,1,23.446778042959437,True
4,mono,1,23.446778042959437,True
5,micro,1,23.18305489260144,True
5,mono,1,23.18305489260144,True
6,micro,1,22.964677804295953,True
6,mono,1,22.964677804295953,True
7,micro,1,22.835202863961825,True
7,mono,1,22.835202863961825,True
8,micro,1,22.798806682577574,True
8,mono,1,22.798806682577574,True
9,micro,1,22.50170068027212,True
9,mono,1,22.50170068027212,True
10,micro,1,22.3404761904762,True
10,mono,1,22.3404761904762,True
11,micro,1,22.24863945578232,True
11,mono,1,22.24863945578232,True
12,micro,1,22.05204081632654,True
12,mono,1,22.05204081632654,True
13,micro,1,21.931632653061232,True
13,mono,1,21.93163265306123,True
14,micro,1,21.800340136054427,True
14,mono,1,21.800340136054427,True
15,micro,1,21.90374149659864,True
15,mono,1,21.90374149659864,True
16,micro,1,21.905102040816335,True
16,mono,1,21.905102040816335,True
17,micro,1,21.663605442176877,True
17,mono,1,21.663605442176877,True
18,micro,1,21.694217687074836,True
18,mono,1,21.694217687074836,True
19,micro,1,21.692176870748305,True
19,mono,1,21.692176870748302,True
20,micro,1,21.674489795918372,True
20,mono,1,21.674489795918372,True
21,micro,1,21.67585034013606,True
21,mono,1,21.67585034013606,True
22,micro,1,21.671768707483,True
22,mono,1,21.671768707483,True
23,micro,1,21.67993197278912,True
23,mono,1,21.67993197278912,True
24,micro,1,21.674489795918372,True
24,mono,1,21.674489795918372,True
25,micro,1,21.67585034013606,True
25,mono,1,21.67585034013606,True
26,micro,1,21.6452380952381,True
26,mono,1,21.6452380952381,True
27,micro,1,21.673129251700683,True
27,mono,1,21.673129251700686,True
28,micro,1,21.66224489795919,True
28,mono,1,21.66224489795919,True
29,micro,1,21.671768707483,True
29,mono,1,21.671768707483,True
30,micro,1,21.653401360544223,True
30,mono,1,21.653401360544223,True
